SKU	EAN	UPC	TYPE	NAME	SHORTCODE	VARIANT GROUP ID	STATUS	PRICE	SALE PRICE	AVAILABLE	COMMITTED	BACKORDERED	ON HAND	TRACKING	BACKORDER LIMIT	DESCRIPTION	WEIGHT	UNIT OF WEIGHT	GTIN CODE	IMAGE URL	PRODUCT ID
			PHYSICAL	Logo added to your Polo			ACTIVE									We will add your school logo to your Polo Shirt.  max 3 colors and 7000 stitches. a one time digitizing fee may apply.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/20230130_143151.jpg/:/rs=w:600,h:600	logo-added-to-your-polo
LG-DDD-TO-YR				Logo added to your Polo		logo-added-to-your-polo	ACTIVE	10		100			100	TRUE		We will add your school logo to your Polo Shirt.  max 3 colors and 7000 stitches. a one time digitizing fee may apply.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/20230130_143151.jpg/:/rs=w:600,h:600	logo-added-to-your-polo
			PHYSICAL	Your Company Logo on your Polo			DRAFT									Your Company Logo on your provided Polo.  A one time digitizing fee may apply.  Bulk orders and Provided Polos available upon request.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/FB_IMG_1668633487367.jpg/:/rs=w:600,h:600	your-company-logo-on-your-polo
YR-CMP-LG-ON				Your Company Logo on your Polo		your-company-logo-on-your-polo	DRAFT	10		3			3	FALSE		Your Company Logo on your provided Polo.  A one time digitizing fee may apply.  Bulk orders and Provided Polos available upon request.	1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/FB_IMG_1668633487367.jpg/:/rs=w:600,h:600	your-company-logo-on-your-polo
			PHYSICAL	American Flag Patches			ACTIVE									American Flag Embroidered Patches.  3.25x2.  With iron on backing. Bulk orders available.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Flag-group.jpg/:/rs=w:600,h:600	american-flag-patches
MRC-FLG-PTC				American Flag Patches		american-flag-patches	ACTIVE	7	5	6			6	TRUE		American Flag Embroidered Patches.  3.25x2.  With iron on backing. Bulk orders available.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Flag-group.jpg/:/rs=w:600,h:600	american-flag-patches
			PHYSICAL	Kitchen Witch			ACTIVE									Embroidered 100% Cotton Hand Towel.  'Kitchen Witch Magical things crafted in this Kitchen.'  On Red Hand Towel with white lettering.  Other colors available upon request.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/Resized_20230115_163403.jpeg/:/rs=w:600,h:600	kitchen-witch
KTC-WTC				Kitchen Witch		kitchen-witch	ACTIVE	15		12			12	TRUE		Embroidered 100% Cotton Hand Towel.  'Kitchen Witch Magical things crafted in this Kitchen.'  On Red Hand Towel with white lettering.  Other colors available upon request.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/Resized_20230115_163403.jpeg/:/rs=w:600,h:600	kitchen-witch
			PHYSICAL	Your Company/School Logo on 12 on Gildan T-Shirt			ACTIVE									Your Company/School Logo on 12 on Gildan T-shirts.  Assorted colors available.  Mens and Ladies sizes sm-4xl.  We will need a hi-res picture of you logo, sizes and colors.  Other options and quantities available. Please do not hesitate to reach out with any questions.					your-companyschool-logo-on-12-on-gildan-t-shirt
YR-CMP-SCH-LG1				Your Company/School Logo on 12 on Gildan T-Shirt		your-companyschool-logo-on-12-on-gildan-t-shirt	ACTIVE	150	130	3			3	TRUE		Your Company/School Logo on 12 on Gildan T-shirts.  Assorted colors available.  Mens and Ladies sizes sm-4xl.  We will need a hi-res picture of you logo, sizes and colors.  Other options and quantities available. Please do not hesitate to reach out with any questions.	0.1	lbs			your-companyschool-logo-on-12-on-gildan-t-shirt
			PHYSICAL	Anime Inspired Eyes			ACTIVE									Anime Inspired Kakashi Eyes.  Iron or sew on.  Dimensions are 3.75" x 1".  Bulk Available,				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Kakashi%20Eyes-f4f00cc.jpg/:/rs=w:600,h:600	anime-inspired-eyes
NM-NSP-YS				Anime Inspired Eyes		anime-inspired-eyes	ACTIVE	8		4			4	TRUE		Anime Inspired Kakashi Eyes.  Iron or sew on.  Dimensions are 3.75" x 1".  Bulk Available,	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Kakashi%20Eyes-f4f00cc.jpg/:/rs=w:600,h:600	anime-inspired-eyes
			PHYSICAL	Anime Inspired Cloud			ACTIVE									Anime Inspired Cloud from Naruto.  Dimensions are 2"x3".  Available in bulk.  Custom patches always available.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Naruto%20Cloud%206.jpg/:/rs=w:600,h:600	anime-inspired-cloud
NM-NSP-CLD				Anime Inspired Cloud		anime-inspired-cloud	ACTIVE	6		5			5	TRUE		Anime Inspired Cloud from Naruto.  Dimensions are 2"x3".  Available in bulk.  Custom patches always available.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Naruto%20Cloud%206.jpg/:/rs=w:600,h:600	anime-inspired-cloud
			PHYSICAL	Your Company/School Logo on 12 Port Authority Polo Shirts			ACTIVE									Get 12 Port Authority Polo Shirts with your Company/School Logo.  Shirts are a cotton/poly blend.  We would need a hi res copy of your logo, colors and sizes.  All colors available.  Sizes xs-4xl for both Men and Ladies Available. There is no digitization fee with the package. If you are looking for other quantities please do not hesitate to reach out to us.					company-school-logo
YR-CMP-LG-ON1				Your Company/School Logo on 12 Port Authority Polo Shirts		company-school-logo	ACTIVE	225	205	3			3	TRUE		Get 12 Port Authority Polo Shirts with your Company/School Logo.  Shirts are a cotton/poly blend.  We would need a hi res copy of your logo, colors and sizes.  All colors available.  Sizes xs-4xl for both Men and Ladies Available. There is no digitization fee with the package. If you are looking for other quantities please do not hesitate to reach out to us.	0.1	lbs			company-school-logo
			PHYSICAL	Dead Pool Patches			ACTIVE									Dead Pool logo Patches.  Because we can always use more of Mr. Pool!				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Deadpool%20Single.jpg/:/rs=w:600,h:600	dead-pool-patches
DDP-PTC				Dead Pool Patches		dead-pool-patches	ACTIVE	6		4			4	TRUE		Dead Pool logo Patches.  Because we can always use more of Mr. Pool!	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Deadpool%20Single.jpg/:/rs=w:600,h:600	dead-pool-patches
			PHYSICAL	Tree of Life Tote Bag			ACTIVE									Tree of Life Tote Bag 14.5WX16H with a 27" strap.  100% Cotton bag lined with a Poly/Cotton Blend.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/20230209_141334.jpg/:/rs=w:600,h:600	tree-of-life-tote-bag
TR-OF-LF-TT				Tree of Life Tote Bag		tree-of-life-tote-bag	ACTIVE	20		12			12	TRUE		Tree of Life Tote Bag 14.5WX16H with a 27" strap.  100% Cotton bag lined with a Poly/Cotton Blend.	0.75	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/20230209_141334.jpg/:/rs=w:600,h:600	tree-of-life-tote-bag
			PHYSICAL	Embroider Buddies			ACTIVE									Embroider Buddies are the perfect way to announce a birth or send a special message.  Can be personalized for any occasion.  We are an Embroider Buddies Retailer and these are authentic.  Currently in Stock and ready to go: Pug Koala Bear Panda Bear Sloth Pink Bunny Penguin Pink Elephant Blue Elephant Purple Unicorn Giraffe Frog				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Group%20Picture.jpg/:/rs=w:600,h:600	embroider-buddies
MBR-BDD				Embroider Buddies		embroider-buddies	ACTIVE	45		7			7	TRUE		Embroider Buddies are the perfect way to announce a birth or send a special message.  Can be personalized for any occasion.  We are an Embroider Buddies Retailer and these are authentic.  Currently in Stock and ready to go: Pug Koala Bear Panda Bear Sloth Pink Bunny Penguin Pink Elephant Blue Elephant Purple Unicorn Giraffe Frog	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Group%20Picture.jpg/:/rs=w:600,h:600	embroider-buddies
			PHYSICAL	F*ck Cancer			ACTIVE									F*ck Cancer Patch.  Measures 3"x2".				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/fuck%20cancer2.jpg/:/rs=w:600,h:600	fck-cancer
F-CK-CNC				F*ck Cancer		fck-cancer	ACTIVE	6		6			6	TRUE		F*ck Cancer Patch.  Measures 3"x2".	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/fuck%20cancer2.jpg/:/rs=w:600,h:600	fck-cancer
			PHYSICAL	Animation Inspired Jolly Roger			ACTIVE									Animation Inspirated One Piece Jolly Roger Embroidered Patch.  Patch Measures 3"x2.5".  Available in Bulk as they are made in house.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/20230219_163430.jpg/:/rs=w:600,h:600	animation-jolly-roger
NMT-NSP-LG				Animation Inspired Jolly Roger		animation-jolly-roger	ACTIVE	6		5			5	TRUE		Animation Inspirated One Piece Jolly Roger Embroidered Patch.  Patch Measures 3"x2.5".  Available in Bulk as they are made in house.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/20230219_163430.jpg/:/rs=w:600,h:600	animation-jolly-roger
			PHYSICAL	Pride Flag Patch			ACTIVE									Pride Flag Embroidered Patch!  Patch measures 3"x2".  Made to order.  Bulk and custom patches available.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/20230219_130702.jpg/:/rs=w:600,h:600	pride-flag-patch
PRD-FLG-PTC				Pride Flag Patch		pride-flag-patch	ACTIVE	6		6			6	TRUE		Pride Flag Embroidered Patch!  Patch measures 3"x2".  Made to order.  Bulk and custom patches available.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/20230219_130702.jpg/:/rs=w:600,h:600	pride-flag-patch
